Location,Name,Mode,Size,Segment
"00003afc","FUN_00051724_00003afc",$a,00000004,".text"
"00053028","FUN_00053028",$a,000000e8,".text"
"000676f4","DAT_000676f4",$d,00000001,".text"
"000541d4","FUN_000541d4",$a,00000078,".text"
"00003d3c","FUN_000541a8_00003d3c",$a,00000004,".text"
"00053c84","FUN_00053c84",$a,00000120,".text"
"0000123c","FUN_00024230_0000123c",$a,00000004,".text"
"00054250","FUN_00054250",$a,0000001c,".text"
"00052190","FUN_00052190",$a,000000f0,".text"
"00054488","FUN_00054488",$a,000000c8,".text"
"00054bdc","FUN_000548a8_00054bdc",$a,0000021c,".text"
"00052f08","FUN_00052f08",$a,00000110,".text"
"000548a8","FUN_000548a8",$a,00000310,".text"
"0005e858","OnUnresolved",$d,00000001,".text"
"00053b60","FUN_00053b60",$a,00000108,".text"
"0001a164","FUN_0001a164",$a,00000150,".text"
"00003b74","FUN_00051724_00003b74",$a,00000004,".text"
"00052b20","FUN_00052b20",$a,0000014c,".text"
"000126c0","FUN_000126c0",$a,000000c0,".text"
"00053e3c","FUN_00053e3c",$a,00000004,".text"
"00024298","FUN_00024298",$a,0000001c,".text"
"000518c8","FUN_000518c8",$a,00000048,".text"
"0000a630","FUN_0000a630",$a,000002bc,".text"
"0001dbf4","FUN_0001dbf4",$a,000000e4,".text"
"00052910","FUN_00052910",$a,00000130,".text"
"00038324","FUN_00038324",$a,000001a8,".text"
"000555c8","FUN_000555c8",$a,00000288,".text"
"0005477c","FUN_0005477c",$a,00000120,".text"
"000560ec","FUN_000560ec",$a,00000024,".text"
"00051958","FUN_00051958",$a,000000b4,".text"
"00055a88","FUN_00055a88",$a,000000e0,".text"
"0000c000","FUN_0000c000",$a,000000ac,".text"
"000532ac","FUN_000532ac",$a,00000024,".text"
"00067300","DAT_00067300",$d,00000001,".text"
"00001304","FUN_00053ea0_00001304",$a,00000004,".text"
"0000d2ac","FUN_0000d2ac",$a,00000088,".text"
"0003ee8c","FUN_0003ee8c",$a,00000038,".text"
"0001b070","FUN_0001b070",$a,000000cc,".text"
"0008e30c","DAT_0008e30c",$d,00000001,".text"
"00003be4","FUN_00052b20_00003be4",$a,00000004,".text"
"0005442c","FUN_0005442c",$a,0000004c,".text"
"000672a4","DAT_000672a4",$d,00000001,".text"
"00061efc","DAT_00061efc",$d,00000001,".text"
"00051608","FUN_00051608",$a,00000090,".text"
"000531b0","FUN_000531b0",$a,0000003c,".text"
"0001e458","FUN_0001e458",$a,000000ec,".text"
"000532d0","FUN_000532d0",$a,00000130,".text"
"0001ff3c","FUN_0001ff3c",$a,000002b0,".text"
"00021dc4","FUN_00021dc4",$a,0000008c,".text"
"0001dcec","FUN_0001dcec",$a,000000c8,".text"
"0005587c","FUN_0005587c",$a,000000d4,".text"
"00012b68","FUN_00012b68",$a,000001ac,".text"
"00000180","FUN_00002cf4",$d,00000001,".text"
"00052758","FUN_00052410_00052758",$a,0000019c,".text"
"00053df4","FUN_00053df4",$a,00000044,".text"
"00020470","FUN_00020470",$a,00000018,".text"
"00051d9c","FUN_00051d9c",$a,00000078,".text"
"00051724","FUN_00051724",$a,00000170,".text"
"00041e94","FUN_00041e94",$a,00000088,".text"
"0003e260","FUN_0003e260",$a,0000019c,".text"
"00052c78","FUN_00052c78",$a,00000120,".text"
"00053b20","FUN_00053b20",$a,00000034,".text"
"0000a0e8","FUN_0000a0e8",$a,00000048,".text"
"0000205c","FUN_0001dcd8_0000205c",$a,00000004,".text"
"000010b4","FUN_0005608c_000010b4",$a,00000004,".text"
"00005eb0","FUN_00005eb0",$a,00000094,".text"
"00019b14","FUN_00019b14",$a,00000138,".text"
"0008e300","DAT_0008e300",$d,00000001,".text"
"0001f68c","FUN_0001f280_0001f68c",$a,00000010,".text"
"000016d4","FUN_0000de28_000016d4",$a,00000004,".text"
"00054568","FUN_00054568",$a,00000070,".text"
"00003b14","FUN_00051e74_00003b14",$a,00000004,".text"
