Location,Name,Mode,Size
"00000834","|static|_FUN_005c1d4c_00000834",$d,00000000
"00000838","FUN_00000838",$a,00000004
"0000083c","|static|_FUN_0052c2c0_0000083c",$d,00000000
"00000840","FUN_00000840",$a,00000004
"00000844","|static|_FUN_006077a4_00000844",$d,00000000
"00000848","FUN_00000848",$a,00000004
"0000084c","|static|_FUN_00304c68_0000084c",$d,00000000
"00000850","FUN_00000850",$a,00000004
"00000854","|static|_FUN_001cd668_00000854",$d,00000000
"00000858","FUN_00000858",$a,00000004
"0000085c","|static|_FUN_006e9c84_0000085c",$d,00000000
"00000860","FUN_00000860",$a,00000004
"00000864","|static|_FUN_00565cc0_00000864",$d,00000000
"00000868","FUN_00000868",$a,00000004
"0000086c","|static|_FUN_006e9be8_0000086c",$d,00000000
"00000870","FUN_00000870",$a,00000004
"00000874","|static|_FUN_001cd690_00000874",$d,00000000
"00000878","FUN_00000878",$a,00000004
"0000087c","|static|_FUN_00613c8c_0000087c",$d,00000000
"00000880","FUN_00000880",$a,00000004
"00000884","|static|_FUN_002fd068_00000884",$d,00000000
"00000888","FUN_00000888",$a,00000004
"0000088c","|static|_FUN_006b7710_0000088c",$d,00000000
"00000890","FUN_00000890",$a,00000004
"00000894","|static|_FUN_0029da30_00000894",$d,00000000
"00000898","FUN_00000898",$a,00000004
"0000089c","|static|_FUN_007559ac_0000089c",$d,00000000
"000008a0","FUN_000008a0",$a,00000004
"000008a4","|static|_FUN_00755a98_000008a4",$d,00000000
"000008a8","FUN_000008a8",$a,00000004
"000008ac","|static|_FUN_002fb328_000008ac",$d,00000000
"000008b0","FUN_000008b0",$a,00000004
"000008b4","|static|_FUN_0071a0a0_000008b4",$d,00000000
"000008b8","FUN_000008b8",$a,00000004
"000008bc","|static|_FUN_00230f24_000008bc",$d,00000000
"000008c0","FUN_000008c0",$a,00000004
"000008c4","|static|_FUN_005dc374_000008c4",$d,00000000
"000008cc","|static|_FUN_0024a7a0_000008cc",$d,00000000
"000008d0","FUN_000008d0",$a,00000004
"000008d4","|static|_FUN_00237a1c_000008d4",$d,00000000
"000008d8","FUN_000008d8",$a,00000004
"000008dc","|static|_FUN_00713a70_000008dc",$d,00000000
"000008e0","FUN_000008e0",$a,00000004
